,Year,Trimester,Province,Mbps,date
384,2018,3,Buenos Aires,17.0,2018-07-01
385,2018,3,Ciudad de Buenos Aires,22.0,2018-07-01
386,2018,3,Catamarca,8.0,2018-07-01
387,2018,3,Chaco,13.0,2018-07-01
388,2018,3,Chubut,6.0,2018-07-01
389,2018,3,Córdoba,15.0,2018-07-01
390,2018,3,Corrientes,11.0,2018-07-01
391,2018,3,Entre Ríos,11.0,2018-07-01
392,2018,3,Formosa,9.0,2018-07-01
393,2018,3,Jujuy,8.0,2018-07-01
394,2018,3,La Pampa,4.0,2018-07-01
395,2018,3,La Rioja,6.0,2018-07-01
396,2018,3,Mendoza,6.0,2018-07-01
397,2018,3,Misiones,12.0,2018-07-01
398,2018,3,Neuquén,15.0,2018-07-01
399,2018,3,Río Negro,10.0,2018-07-01
400,2018,3,Salta,9.0,2018-07-01
401,2018,3,San Juan,6.0,2018-07-01
402,2018,3,San Luis,9.0,2018-07-01
403,2018,3,Santa Cruz,5.0,2018-07-01
404,2018,3,Santa Fe,12.0,2018-07-01
405,2018,3,Santiago del Estero,6.0,2018-07-01
406,2018,3,Tierra del Fuego,6.0,2018-07-01
407,2018,3,Tucumán,15.0,2018-07-01
408,2018,2,Buenos Aires,15.0,2018-04-01
409,2018,2,Ciudad de Buenos Aires,19.0,2018-04-01
410,2018,2,Catamarca,8.0,2018-04-01
411,2018,2,Chaco,12.0,2018-04-01
412,2018,2,Chubut,5.0,2018-04-01
413,2018,2,Córdoba,14.0,2018-04-01
414,2018,2,Corrientes,11.0,2018-04-01
415,2018,2,Entre Ríos,10.0,2018-04-01
416,2018,2,Formosa,9.0,2018-04-01
417,2018,2,Jujuy,6.0,2018-04-01
418,2018,2,La Pampa,4.0,2018-04-01
419,2018,2,La Rioja,6.0,2018-04-01
420,2018,2,Mendoza,6.0,2018-04-01
421,2018,2,Misiones,12.0,2018-04-01
422,2018,2,Neuquén,13.0,2018-04-01
423,2018,2,Río Negro,10.0,2018-04-01
424,2018,2,Salta,9.0,2018-04-01
425,2018,2,San Juan,6.0,2018-04-01
426,2018,2,San Luis,6.0,2018-04-01
427,2018,2,Santa Cruz,5.0,2018-04-01
428,2018,2,Santa Fe,12.0,2018-04-01
429,2018,2,Santiago del Estero,6.0,2018-04-01
430,2018,2,Tierra del Fuego,6.0,2018-04-01
431,2018,2,Tucumán,14.0,2018-04-01
432,2018,1,Buenos Aires,14.0,2018-01-01
433,2018,1,Ciudad de Buenos Aires,18.0,2018-01-01
434,2018,1,Catamarca,8.0,2018-01-01
435,2018,1,Chaco,12.0,2018-01-01
436,2018,1,Chubut,5.0,2018-01-01
437,2018,1,Córdoba,13.0,2018-01-01
438,2018,1,Corrientes,11.0,2018-01-01
439,2018,1,Entre Ríos,10.0,2018-01-01
440,2018,1,Formosa,11.0,2018-01-01
441,2018,1,Jujuy,7.0,2018-01-01
442,2018,1,La Pampa,4.0,2018-01-01
443,2018,1,La Rioja,6.0,2018-01-01
444,2018,1,Mendoza,6.0,2018-01-01
445,2018,1,Misiones,12.0,2018-01-01
446,2018,1,Neuquén,12.0,2018-01-01
447,2018,1,Río Negro,9.0,2018-01-01
448,2018,1,Salta,9.0,2018-01-01
449,2018,1,San Juan,6.0,2018-01-01
450,2018,1,San Luis,6.0,2018-01-01
451,2018,1,Santa Cruz,5.0,2018-01-01
452,2018,1,Santa Fe,11.0,2018-01-01
453,2018,1,Santiago del Estero,6.0,2018-01-01
454,2018,1,Tierra del Fuego,6.0,2018-01-01
455,2018,1,Tucumán,9.0,2018-01-01
456,2017,4,Buenos Aires,13.0,2017-10-01
457,2017,4,Ciudad de Buenos Aires,15.0,2017-10-01
458,2017,4,Catamarca,8.0,2017-10-01
