,Year,Trimester,Provincia,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
473,2017,4,San Juan,54079,451,812,2246,1036,58624,2017-10-01,0.015015070544943509
474,2017,4,San Luis,11104,1119,335,170,2329,14904,2017-10-01,0.0301693083573487
475,2017,4,Santa Cruz,18614,1668,582,4638,395,29452,2017-10-01,0.0312667884388095
476,2017,4,Santa Fe,341680,293831,10602,10965,15382,672460,2017-10-01,0.031029033013345822
477,2017,4,Santiago del Estero,27313,40407,19,1025,800,68844,2017-10-01,0.0006956394390949365
478,2017,4,Tierra del Fuego,19372,6906,530,10,2045,28854,2017-10-01,0.027359074953541195
479,2017,4,Tucumán,156583,5223,105,1020,3190,162332,2017-10-01,0.0006705708793419465
480,2017,3,Buenos Aires,1288025,1571180,124920,35058,38777,3057960,2017-07-01,0.09698569515343258
481,2017,3,Ciudad de Buenos Aires,583249,941092,33481,2814,9723,1570359,2017-07-01,0.057404299021515684
482,2017,3,Catamarca,26873,4411,12,10,2181,33478,2017-07-01,0.00044654485915230903
483,2017,3,Chaco,54888,37307,456,360,1072,93759,2017-07-01,0.008307826847398338
484,2017,3,Chubut,56359,5645,1217,13503,682,83544,2017-07-01,0.021593711740804485
485,2017,3,Córdoba,344580,319360,10579,7137,14988,696644,2017-07-01,0.03070114342097626
486,2017,3,Corrientes,56247,33993,947,1334,270,92548,2017-07-01,0.016836453499742207
487,2017,3,Entre Ríos,107774,69596,1786,6245,630,185464,2017-07-01,0.016571714884851634
488,2017,3,Formosa,22647,6816,428,2202,120,32105,2017-07-01,0.01889875038636464
489,2017,3,Jujuy,33796,9395,20,230,80,43242,2017-07-01,0.0005917860101787194
490,2017,3,La Pampa,11378,49679,5153,11536,1944,79690,2017-07-01,0.45289154508701
491,2017,3,La Rioja,16638,34984,14,2520,250,51913,2017-07-01,0.0008414472893376608
492,2017,3,Mendoza,154036,33788,2772,290,1866,192491,2017-07-01,0.017995793191202057
493,2017,3,Misiones,56472,43880,110,50,90,100476,2017-07-01,0.0019478679699674174
494,2017,3,Neuquén,48001,52468,1044,11576,2695,115784,2017-07-01,0.02174954688443991
495,2017,3,Río Negro,69301,30018,1106,3054,4017,107496,2017-07-01,0.015959365665719108
496,2017,3,Salta,80782,50284,127,1580,1167,132518,2017-07-01,0.0015721324057339507
497,2017,3,San Juan,54499,5068,816,1053,1013,62449,2017-07-01,0.014972751793610892
498,2017,3,San Luis,11407,7576,347,260,2363,21719,2017-07-01,0.030419917594459542
